,sector,sub_sector
ESS,Real Estate,REIT - Residential
ETN,Industrials,Specialty Industrial Machinery
ETR,Utilities,Utilities - Regulated Electric
ETSY,Consumer Cyclical,Internet Retail
EW,Healthcare,Medical Devices
EXC,Utilities,Utilities - Regulated Electric
EXPE,Consumer Cyclical,Travel Services
EXR,Real Estate,REIT - Industrial
F,Consumer Cyclical,Auto Manufacturers
FANG,Energy,Oil & Gas E&P
FAST,Industrials,Industrial Distribution
FCX,Basic Materials,Copper
FDS,Financial Services,Financial Data & Stock Exchanges
FDX,Industrials,Integrated Freight & Logistics
FE,Utilities,Utilities - Regulated Electric
FFIV,Technology,Software - Infrastructure
FICO,Technology,Software - Application
FIS,Technology,Information Technology Services
FITB,Financial Services,Banks - Regional
FMC,Basic Materials,Agricultural Inputs
FOXA,Communication Services,Entertainment
FRT,Real Estate,REIT - Retail
FSLR,Technology,Solar
FTI,Energy,Oil & Gas Equipment & Services
FTNT,Technology,Software - Infrastructure
FTV,Technology,Scientific & Technical Instruments
GD,Industrials,Aerospace & Defense
GE,Industrials,Aerospace & Defense
GILD,Healthcare,Drug Manufacturers - General
GIS,Consumer Defensive,Packaged Foods
GL,Financial Services,Insurance - Life
GLW,Technology,Electronic Components
GM,Consumer Cyclical,Auto Manufacturers
GNRC,Industrials,Specialty Industrial Machinery
GOOG,Communication Services,Internet Content & Information
GOOGL,Communication Services,Internet Content & Information
GPC,Consumer Cyclical,Auto Parts
GPN,Industrials,Specialty Business Services
GPS,,
GRMN,Technology,Scientific & Technical Instruments
GS,Financial Services,Capital Markets
GWW,Industrials,Industrial Distribution
HAL,Energy,Oil & Gas Equipment & Services
HBAN,Financial Services,Banks - Regional
HCA,Healthcare,Medical Care Facilities
HD,Consumer Cyclical,Home Improvement Retail
HES,,
HIG,Financial Services,Insurance - Property & Casualty
HOLX,Healthcare,Medical Instruments & Supplies
HON,Industrials,Conglomerates
HPE,Technology,Communication Equipment
HSIC,Healthcare,Medical Distribution
HST,Real Estate,REIT - Hotel & Motel
HSY,Consumer Defensive,Confectioners
HUM,Healthcare,Healthcare Plans
HWM,Industrials,Aerospace & Defense
IBM,Technology,Information Technology Services
ICE,Financial Services,Financial Data & Stock Exchanges
IDXX,Healthcare,Diagnostics & Research
IEX,Industrials,Specialty Industrial Machinery
IFF,Basic Materials,Specialty Chemicals
ILMN,Healthcare,Diagnostics & Research
INCY,Healthcare,Biotechnology
INTC,Technology,Semiconductors
INTU,Technology,Software - Application
INVH,Real Estate,REIT - Residential
IPG,Communication Services,Advertising Agencies
IPGP,Technology,Semiconductor Equipment & Materials
IQV,Healthcare,Diagnostics & Research
IR,Industrials,Specialty Industrial Machinery
ISRG,Healthcare,Medical Instruments & Supplies
IT,Technology,Information Technology Services
ITW,Industrials,Specialty Industrial Machinery
J,Industrials,Engineering & Construction
JBHT,Industrials,Integrated Freight & Logistics
JCI,Industrials,Building Products & Equipment
JNJ,Healthcare,Drug Manufacturers - General
JNPR,,
JPM,Financial Services,Banks - Diversified
K,Consumer Defensive,Packaged Foods
KEY,Financial Services,Banks - Regional
KEYS,Technology,Scientific & Technical Instruments
KHC,Consumer Defensive,Packaged Foods
KIM,Real Estate,REIT - Retail
KLAC,Technology,Semiconductor Equipment & Materials
KMI,Energy,Oil & Gas Midstream
KMX,Consumer Cyclical,Auto & Truck Dealerships
KO,Consumer Defensive,Beverages - Non-Alcoholic
KR,Consumer Defensive,Grocery Stores
LDOS,Technology,Information Technology Services
LH,Healthcare,Diagnostics & Research
LHX,Industrials,Aerospace & Defense
LIN,Basic Materials,Specialty Chemicals
LKQ,Consumer Cyclical,Auto Parts
LLY,Healthcare,Drug Manufacturers - General
LMT,Industrials,Aerospace & Defense
LNT,Utilities,Utilities - Regulated Electric
LOW,Consumer Cyclical,Home Improvement Retail
LRCX,Technology,Semiconductor Equipment & Materials
LUV,Industrials,Airlines
LVS,Consumer Cyclical,Resorts & Casinos
LYB,Basic Materials,Specialty Chemicals
LYV,Communication Services,Entertainment
MA,Financial Services,Credit Services
MCD,Consumer Cyclical,Restaurants
MCHP,Technology,Semiconductors
MCK,Healthcare,Medical Distribution
MCO,Financial Services,Financial Data & Stock Exchanges
MDLZ,Consumer Defensive,Confectioners
MDT,Healthcare,Medical Devices
META,Communication Services,Internet Content & Information
MGM,Consumer Cyclical,Resorts & Casinos
MLM,Basic Materials,Building Materials
MNST,Consumer Defensive,Beverages - Non-Alcoholic
MOS,Basic Materials,Agricultural Inputs
MPC,Energy,Oil & Gas Refining & Marketing
MRK,Healthcare,Drug Manufacturers - General
MRNA,Healthcare,Biotechnology
MRO,,
MS,Financial Services,Capital Markets
MSFT,Technology,Software - Infrastructure
MSI,Technology,Communication Equipment
MTB,Financial Services,Banks - Regional
MTCH,Communication Services,Internet Content & Information
MU,Technology,Semiconductors
NCLH,Consumer Cyclical,Travel Services
NDAQ,Financial Services,Financial Data & Stock Exchanges
NEE,Utilities,Utilities - Regulated Electric
NEM,Basic Materials,Gold
NFLX,Communication Services,Entertainment
NI,Utilities,Utilities - Regulated Gas
NKE,Consumer Cyclical,Footwear & Accessories
NOC,Industrials,Aerospace & Defense
NOW,Technology,Software - Application
NRG,Utilities,Utilities - Independent Power Producers
NSC,Industrials,Railroads
NTAP,Technology,Software - Infrastructure
NUE,Basic Materials,Steel
NVDA,Technology,Semiconductors
NVR,Consumer Cyclical,Residential Construction
NWSA,Communication Services,Entertainment
O,Real Estate,REIT - Retail
ODFL,Industrials,Trucking
OKE,Energy,Oil & Gas Midstream
OMC,Communication Services,Advertising Agencies
ON,Technology,Semiconductors
ORCL,Technology,Software - Infrastructure
ORLY,Consumer Cyclical,Auto Parts
OXY,Energy,Oil & Gas E&P
PANW,Technology,Software - Infrastructure
PAYC,Technology,Software - Application
PAYX,Technology,Software - Application
PCAR,Industrials,Farm & Heavy Construction Machinery
PEG,Utilities,Utilities - Regulated Electric
PEP,Consumer Defensive,Beverages - Non-Alcoholic
PFE,Healthcare,Drug Manufacturers - General
PG,Consumer Defensive,Household & Personal Products
PGR,Financial Services,Insurance - Property & Casualty
PH,Industrials,Specialty Industrial Machinery
PHM,Consumer Cyclical,Residential Construction
PLD,Real Estate,REIT - Industrial
PM,Consumer Defensive,Tobacco
PNC,Financial Services,Banks - Regional
PNR,Industrials,Specialty Industrial Machinery
PODD,Healthcare,Medical Devices
POOL,Industrials,Industrial Distribution
PPG,Basic Materials,Specialty Chemicals
PPL,Utilities,Utilities - Regulated Electric
PRU,Financial Services,Insurance - Life
PSA,Real Estate,REIT - Industrial
PSX,Energy,Oil & Gas Refining & Marketing
PTC,Technology,Software - Application
PWR,Industrials,Engineering & Construction
PYPL,Financial Services,Credit Services
QCOM,Technology,Semiconductors
QRVO,Technology,Semiconductors
REG,Real Estate,REIT - Retail
REGN,Healthcare,Biotechnology
RF,Financial Services,Banks - Regional
RJF,Financial Services,Asset Management
RL,Consumer Cyclical,Apparel Manufacturing
RMD,Healthcare,Medical Instruments & Supplies
ROK,Industrials,Specialty Industrial Machinery
ROL,Consumer Cyclical,Personal Services
ROP,Technology,Software - Application
ROST,Consumer Cyclical,Apparel Retail
RSG,Industrials,Waste Management
RTX,Industrials,Aerospace & Defense
SEDG,Technology,Solar
SHW,Basic Materials,Specialty Chemicals
SLB,Energy,Oil & Gas Equipment & Services
SNA,Industrials,Tools & Accessories
SNPS,Technology,Software - Infrastructure
SO,Utilities,Utilities - Regulated Electric
SPG,Real Estate,REIT - Retail
SPGI,Financial Services,Financial Data & Stock Exchanges
SRE,Utilities,Utilities - Diversified
STE,Healthcare,Medical Devices
STLD,Basic Materials,Steel
STT,Financial Services,Asset Management
STX,Technology,Computer Hardware
STZ,Consumer Defensive,Beverages - Brewers
SWK,Industrials,Tools & Accessories
SWKS,Technology,Semiconductors
SYF,Financial Services,Credit Services
SYK,Healthcare,Medical Devices
SYY,Consumer Defensive,Food Distribution
TAP,Consumer Defensive,Beverages - Brewers
TDY,Technology,Scientific & Technical Instruments
TECH,Healthcare,Biotechnology
TEL,Technology,Electronic Components
TER,Technology,Semiconductor Equipment & Materials
TFC,Financial Services,Banks - Regional
TFX,Healthcare,Medical Instruments & Supplies
TGT,Consumer Defensive,Discount Stores
TJX,Consumer Cyclical,Apparel Retail
TMO,Healthcare,Diagnostics & Research
TMUS,Communication Services,Telecom Services
TPR,Consumer Cyclical,Luxury Goods
TRGP,Energy,Oil & Gas Midstream
TRMB,Technology,Scientific & Technical Instruments
TRV,Financial Services,Insurance - Property & Casualty
TSCO,Consumer Cyclical,Specialty Retail
TSLA,Consumer Cyclical,Auto Manufacturers
TSN,Consumer Defensive,Farm Products
TT,Industrials,Building Products & Equipment
TTWO,Communication Services,Electronic Gaming & Multimedia
TYL,Technology,Software - Application
UAL,Industrials,Airlines
UDR,Real Estate,REIT - Residential
UHS,Healthcare,Medical Care Facilities
ULTA,Consumer Cyclical,Specialty Retail
UNH,Healthcare,Healthcare Plans
UNP,Industrials,Railroads
UPS,Industrials,Integrated Freight & Logistics
URI,Industrials,Rental & Leasing Services
USB,Financial Services,Banks - Regional
V,Financial Services,Credit Services
VFC,Consumer Cyclical,Apparel Manufacturing
VLO,Energy,Oil & Gas Refining & Marketing
VMC,Basic Materials,Building Materials
VRSK,Industrials,Consulting Services
VRTX,Healthcare,Biotechnology
VZ,Communication Services,Telecom Services
WAB,Industrials,Railroads
WAT,Healthcare,Diagnostics & Research
WBA,Healthcare,Pharmaceutical Retailers
WBD,Communication Services,Entertainment
WDC,Technology,Computer Hardware
WEC,Utilities,Utilities - Regulated Electric
WELL,Real Estate,REIT - Healthcare Facilities
WFC,Financial Services,Banks - Diversified
WM,Industrials,Waste Management
WMB,Energy,Oil & Gas Midstream
WMT,Consumer Defensive,Discount Stores
WRB,Financial Services,Insurance - Property & Casualty
WST,Healthcare,Medical Instruments & Supplies
WTW,Financial Services,Insurance Brokers
WY,Real Estate,REIT - Specialty
XEL,Utilities,Utilities - Regulated Electric
XOM,Energy,Oil & Gas Integrated
XYL,Industrials,Specialty Industrial Machinery
YUM,Consumer Cyclical,Restaurants
ZBH,Healthcare,Medical Devices
ZBRA,Technology,Communication Equipment
ZION,Financial Services,Banks - Regional
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic
