stock,market_cap_log,beta_5y_monthly
ELV,24.99637081,0.6
EMN,22.69750529,1.269
EMR,25.00514173,1.291
ENPH,22.28611583,1.513
EOG,24.88293747,0.866
EPAM,22.85826251,1.661
EQIX,25.07155243,0.91
EQR,23.95787908,0.94
EQT,24.24185659,0.574
ESS,23.64084934,0.845
ETN,25.6813459,1.154
ETR,24.44124858,0.595
ETSY,22.5734181,1.773
EW,24.52472316,1.07
EXC,24.51943659,0.489
EXPE,24.04008446,1.578
EXR,24.15681852,1.102
F,24.59025215,1.534
FANG,24.4825179,1.118
FAST,24.74664959,0.967
FCX,24.6615202,1.591
FDS,23.11681032,0.836
FDX,24.75066774,1.207
FE,23.99022528,0.484
FFIV,23.64980133,1.081
FICO,24.31937935,1.345
FIS,24.23652921,1.058
FITB,24.12677843,0.952
FMC,22.15883256,0.774
FOXA,23.97745247,0.533
FRT,22.87942199,1.177
FSLR,23.88436966,1.405
FTI,23.5322308,1.102
FTNT,24.89165908,1.127
FTV,23.52173325,1.08
GD,25.21031964,0.506
GE,26.46885672,1.479
GILD,25.6584191,0.379
GIS,24.00863434,-0.015
GL,23.18369801,0.56
GLW,24.94237184,1.081
GM,24.78895797,1.317
GNRC,23.0131104,1.634
GOOG,28.72466439,1.011
GOOGL,28.7246643,1.011
GPC,23.67565304,0.762
GPN,23.74157289,0.972
GPS,,
GRMN,24.55821218,1.014
GS,26.21606679,1.402
GWW,24.54986251,1.179
HAL,23.78706974,1.106
HBAN,23.95857694,0.987
HCA,25.30886569,1.422
HD,26.7350184,1.002
HES,,
HIG,24.34565173,0.718
HOLX,23.42789683,0.572
HON,25.60742378,1.046
HPE,24.17853474,1.441
HSIC,22.8040802,0.857
HST,23.2265316,1.381
HSY,24.36438397,0.259
HUM,24.14633231,0.445
HWM,25.07822757,1.452
IBM,26.30239259,0.697
ICE,25.28774449,1.107
IDXX,24.64683327,1.561
IEX,23.22039774,1.016
IFF,23.46808198,1.086
ILMN,23.36892652,1.432
INCY,23.50514478,0.754
INTC,25.8340137,1.23
INTU,25.99461467,1.26
INVH,23.60737246,0.82
IPG,22.99033982,1.085
IPGP,21.94603853,0.951
IQV,24.14181842,1.324
IR,24.21095715,1.403
ISRG,25.78669065,1.617
IT,23.71905136,1.197
ITW,25.05522424,1.11
J,23.59539792,0.778
JBHT,23.28941692,1.28
JCI,24.97212931,1.328
JNJ,26.79354756,0.391
JNPR,,
JPM,27.49070928,1.129
K,24.02270133,0.276
KEY,23.75403621,1.14
KEYS,24.11742393,1.158
KHC,24.15184356,0.196
KIM,23.40570814,1.335
KLAC,25.66598296,1.469
KMI,24.86138501,0.818
KMX,22.60843501,
KO,26.36737546,0.43
KR,24.49323929,0.586
LDOS,23.88967608,0.715
LH,23.87252101,0.827
LHX,24.72920807,0.762
LIN,26.12799239,0.952
LKQ,22.77687448,0.89
LLY,27.19949758,0.465
LMT,25.45771019,0.262
LNT,23.55550992,0.546
LOW,25.69446212,0.873
LRCX,25.80980157,1.77
LUV,23.561429,1.189
LVS,24.33621837,1.033
LYB,23.48993171,0.867
LYV,24.34833205,1.419
MA,26.95940882,0.989
MCD,26.10693767,0.495
MCHP,24.27191045,1.544
MCK,25.27292907,0.511
MCO,25.17186914,1.415
MDLZ,25.12979469,0.454
MDT,25.5178545,0.788
META,28.25610639,1.242
MGM,22.9943603,1.692
MLM,24.33451358,0.938
MNST,24.87901608,0.541
MOS,23.14005448,0.996
MPC,24.82435091,0.946
MRK,26.00253209,0.379
MRNA,22.97755972,1.928
MRO,,
MS,26.26683777,1.336
MSFT,28.96648713,1.04
MSI,25.05476206,0.966
MTB,24.16610846,0.659
MTCH,22.88890187,1.367
MU,25.89377715,1.468
NCLH,23.15683396,2.199
NDAQ,24.63953627,1.03
NEE,25.77438604,0.637
NEM,25.26275374,0.354
NFLX,26.96630605,1.605
NI,23.72121057,0.597
NKE,25.35180273,1.244
NOC,25.1673883,0.131
NOW,25.99234898,0.913
NRG,24.20778154,1.166
NSC,24.92411767,1.287
NTAP,23.89840924,1.457
NUE,24.17976329,1.772
NVDA,29.09852494,2.102
NVR,23.82315121,0.948
NWSA,23.59824547,1.192
O,24.7333397,0.776
ODFL,24.09493838,1.236
OKE,24.56342047,1.028
OMC,23.4263939,0.988
ON,23.74437995,1.473
ORCL,27.41474421,1.46
ORLY,25.22335881,0.598
OXY,24.56768117,1.044
PANW,25.63124274,0.984
PAYC,23.22767858,0.814
PAYX,24.55419723,0.904
PCAR,24.6892635,0.943
PEG,24.43864763,0.51
PEP,25.98218322,0.467
PFE,25.62919733,0.461
PG,26.6007888,0.362
PGR,25.68454746,0.325
PH,25.27713387,1.348
PHM,23.9765653,1.275
PLD,25.3864739,1.277
PM,26.2710415,0.51
PNC,25.10615359,1.11
PNR,23.61325381,1.085
PODD,23.83164917,1.366
POOL,23.15811401,1.08
PPG,23.87573714,1.136
PPL,24.02482708,0.66
PRU,24.32730509,1.046
PSA,24.63988624,0.849
PSX,24.7550108,1.131
PTC,23.91428233,1.184
PWR,24.82446964,1.013
PYPL,24.88677838,1.438
QCOM,25.93038205,1.212
QRVO,22.87720007,1.396
REG,23.29305921,1.107
REGN,24.81370815,0.35
RF,23.89136065,1.032
RJF,24.27946412,1.059
RL,23.66228801,1.613
RMD,24.40137585,0.848
ROK,24.37730049,1.402
ROL,24.06674638,0.684
ROP,24.70728683,1.028
ROST,24.62074941,1.154
RSG,24.98947149,0.602
RTX,26.11074187,0.662
SEDG,21.57441434,1.498
SHW,25.16884875,1.184
SLB,24.6947377,1.057
SNA,23.60443864,0.762
SNPS,25.22972861,1.139
SO,25.36753633,0.391
SPG,24.97076644,1.53
SPGI,25.72543909,1.202
SRE,24.7802984,0.655
STE,23.92324593,0.955
STLD,23.74633009,1.407
STT,24.21449849,1.516
STX,24.55889858,1.552
STZ,23.87432159,0.669
SWK,23.15963037,1.161
SWKS,23.19149045,1.164
SYF,24.04589494,1.48
SYK,25.67258611,0.932
SYY,24.39155271,0.808
TAP,22.90675161,0.691
TDY,24.02131575,1.093
TECH,22.81175439,1.466
TEL,24.88419847,1.227
TER,23.7924456,1.795
TFC,24.80654616,0.857
TFX,22.3914812,1.082
TGT,24.41011735,1.151
TJX,25.79374364,0.9
TMO,25.88977978,0.756
TMUS,26.31146256,0.599
TPR,23.84544937,1.538
TRGP,24.3471872,1.209
TRMB,23.68505904,1.664
TRV,24.85896309,0.543
TSCO,24.12289093,0.75
TSLA,28.01246427,2.065
TSN,23.68228967,0.581
TT,25.24933928,1.102
TTWO,24.57864458,1
TYL,23.85512924,0.892
UAL,24.17947561,1.478
UDR,23.36444725,0.881
UHS,23.27129056,1.281
ULTA,23.93212269,1.062
UNH,26.46506372,0.452
UNP,25.66120837,1.034
UPS,24.98536147,1.056
URI,24.83329529,1.726
USB,25.06626577,1.072
V,27.20761949,0.918
VFC,22.47312308,1.721
VLO,24.72256261,1.074
VMC,24.40066564,0.855
VRSK,24.26478674,0.862
VRTX,25.3173634,0.439
VZ,25.93751619,0.357
WAB,24.2384275,1.113
WAT,23.57765248,1.074
WBA,,0.768
WBD,24.60074529,1.592
WDC,24.33631758,1.746
WEC,24.31570662,0.422
WELL,25.48524871,0.915
WFC,26.33026036,1.242
WM,25.20168113,0.646
WMB,25.08212072,0.671
WMT,27.43558922,0.654
WRB,24.08297206,0.415
WST,23.65739942,1.054
WTW,24.23034414,0.713
WY,23.5971626,1.077
XEL,24.57103333,0.355
XOM,26.93734944,0.549
XYL,24.27331101,1.089
YUM,24.46993527,0.728
ZBH,23.69167573,0.682
ZBRA,23.44731083,1.79
ZION,22.86265801,0.951
ZTS,24.87582947,0.887
